date,daily_dataset_slug,daily_dataset_url,episode_count,total_bytes,top_avg_score,median_avg_score
2026-07-30,kaggriculture-episodes-2026-07-30,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-07-30,864,13639221377,1152.418623,669.750471
2026-07-31,kaggriculture-episodes-2026-07-31,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-07-31,928,21452054005,1427.008312,1175.253007
2026-08-01,kaggriculture-episodes-2026-08-01,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-01,829,21450823404,1580.555055,1348.186244
2026-08-02,kaggriculture-episodes-2026-08-02,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-02,793,21471097913,2627.206525,2319.161237
2026-08-03,kaggriculture-episodes-2026-08-03,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-03,787,21469441381,2960.127622,2730.385790
2026-08-04,kaggriculture-episodes-2026-08-04,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-04,755,21469460776,2996.325092,2767.121715
2026-08-05,kaggriculture-episodes-2026-08-05,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-05,743,21456733131,3022.814697,2838.605560
2026-08-06,kaggriculture-episodes-2026-08-06,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-06,683,21455506191,3081.302969,2973.372293
2026-08-07,kaggriculture-episodes-2026-08-07,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-07,675,21445647958,3132.625560,3028.590465
2026-08-08,kaggriculture-episodes-2026-08-08,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-08,675,21452045805,3192.886787,3067.745951
2026-08-09,kaggriculture-episodes-2026-08-09,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-09,687,21451856799,3218.132921,3068.009365
2026-08-10,kaggriculture-episodes-2026-08-10,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-10,685,21466382494,3217.352596,3079.658269
2026-08-11,kaggriculture-episodes-2026-08-11,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-11,682,21457049311,3186.653367,3066.701797
2026-08-12,kaggriculture-episodes-2026-08-12,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-12,684,21466985686,3190.594272,3066.434242
2026-08-13,kaggriculture-episodes-2026-08-13,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-13,687,21454228762,3196.963248,3038.294970
2026-08-14,kaggriculture-episodes-2026-08-14,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-14,690,21458237604,3207.046541,3045.131358
2026-08-15,kaggriculture-episodes-2026-08-15,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-15,697,21462110197,3202.103472,3010.130894
2026-08-16,kaggriculture-episodes-2026-08-16,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-16,699,21472964135,3197.972526,2964.450916
2026-08-17,kaggriculture-episodes-2026-08-17,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-17,699,21464858938,3172.740849,2929.397458
2026-08-18,kaggriculture-episodes-2026-08-18,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-18,697,21459751622,3173.947291,2862.585582
2026-08-19,kaggriculture-episodes-2026-08-19,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-19,695,21450101283,3133.564446,2892.949144
2026-08-20,kaggriculture-episodes-2026-08-20,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-20,698,21469189764,3133.634150,2831.840271
2026-08-21,kaggriculture-episodes-2026-08-21,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-21,697,21459402721,3135.450580,2818.282167
2026-08-22,kaggriculture-episodes-2026-08-22,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-22,695,21473736835,3094.075580,2803.878576
2026-08-23,kaggriculture-episodes-2026-08-23,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-23,692,21452686185,3094.904076,2791.636823
2026-08-24,kaggriculture-episodes-2026-08-24,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-24,692,21457510652,3066.494338,2810.146976
2026-08-25,kaggriculture-episodes-2026-08-25,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-25,688,21468597080,3069.552857,2761.313513
2026-08-26,kaggriculture-episodes-2026-08-26,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-26,687,21449115176,3075.180535,2752.948115
2026-08-27,kaggriculture-episodes-2026-08-27,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-27,696,21474226779,3071.238572,2773.613588
2026-08-28,kaggriculture-episodes-2026-08-28,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-28,676,21468842261,3035.210062,2770.387058
2026-08-29,kaggriculture-episodes-2026-08-29,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-29,667,21464134963,3026.224305,2797.223938
2026-08-30,kaggriculture-episodes-2026-08-30,https://www.kaggle.com/datasets/kaggle/kaggriculture-episodes-2026-08-30,664,21450844372,3030.264967,2767.459185
